cell,invariant,before,after,residual,scaled_residual
656,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
657,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
657,mom_x,8.288568052449292406441e-07,8.288568052449292406441e-07,0.000000000000000000000e+00,0.00000000000000000e+00
657,mom_y,2.091313096612872288549e-08,2.091313096612872288549e-08,0.000000000000000000000e+00,0.00000000000000000e+00
657,mom_z,-1.250955428956256824809e-08,-1.250955428956256824809e-08,0.000000000000000000000e+00,0.00000000000000000e+00
657,energy,3.452661231396289434701e-05,3.452661231396289434701e-05,0.000000000000000000000e+00,0.00000000000000000e+00
657,mass_d,1.657069033899856706694e-12,1.657069033899856706694e-12,0.000000000000000000000e+00,0.00000000000000000e+00
657,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
658,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
658,mom_x,8.439076873604840055033e-07,8.439076873604840055033e-07,0.000000000000000000000e+00,0.00000000000000000e+00
658,mom_y,-1.704592619020426602256e-10,-1.704592619020426602256e-10,0.000000000000000000000e+00,0.00000000000000000e+00
658,mom_z,-1.567797189159731826617e-13,-1.567797189159731826617e-13,0.000000000000000000000e+00,0.00000000000000000e+00
658,energy,3.583337593580904721635e-05,3.583337593580904721635e-05,0.000000000000000000000e+00,0.00000000000000000e+00
658,mass_d,1.138653196045925240405e-12,1.138653196045925240405e-12,0.000000000000000000000e+00,0.00000000000000000e+00
658,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
659,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
659,mom_x,8.552912914351054218091e-07,8.552912914351054218091e-07,0.000000000000000000000e+00,0.00000000000000000e+00
659,mom_y,-2.190279102083422271264e-10,-2.190279102083422271264e-10,0.000000000000000000000e+00,0.00000000000000000e+00
659,mom_z,-7.238739103944939801800e-14,-7.238739103944939801800e-14,0.000000000000000000000e+00,0.00000000000000000e+00
659,energy,3.680052435714715292851e-05,3.680052435714715292851e-05,0.000000000000000000000e+00,0.00000000000000000e+00
659,mass_d,1.532440197515052904082e-12,1.532440197515052904082e-12,0.000000000000000000000e+00,0.00000000000000000e+00
659,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
660,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
660,mom_x,1.299850773959964548958e-06,1.299850773959964548958e-06,0.000000000000000000000e+00,0.00000000000000000e+00
660,mom_y,-3.419549139983723917989e-10,-3.419549139983723917989e-10,0.000000000000000000000e+00,0.00000000000000000e+00
660,mom_z,-1.225344129270459322742e-13,-1.225344129270459322742e-13,0.000000000000000000000e+00,0.00000000000000000e+00
660,energy,5.665640839915257081279e-05,5.665640839915257081279e-05,0.000000000000000000000e+00,0.00000000000000000e+00
660,mass_d,2.427958591513632680646e-12,2.427958591513632680646e-12,0.000000000000000000000e+00,0.00000000000000000e+00
660,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
661,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
661,mom_x,8.768548421674300464432e-07,8.768548421674300464432e-07,0.000000000000000000000e+00,0.00000000000000000e+00
661,mom_y,-1.726115943414529851523e-10,-1.726115943414529851523e-10,0.000000000000000000000e+00,0.00000000000000000e+00
661,mom_z,-8.592262377233789421266e-14,-8.592262377233789421266e-14,0.000000000000000000000e+00,0.00000000000000000e+00
661,energy,3.866790310605731830623e-05,3.866790310605731830623e-05,0.000000000000000000000e+00,0.00000000000000000e+00
661,mass_d,1.772494700775312733087e-12,1.772494700775312733087e-12,0.000000000000000000000e+00,0.00000000000000000e+00
661,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
662,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
662,mom_x,1.325180984365359702226e-06,1.325180984365359702226e-06,0.000000000000000000000e+00,0.00000000000000000e+00
662,mom_y,-3.274645873232818460038e-10,-3.274645873232818460038e-10,0.000000000000000000000e+00,0.00000000000000000e+00
662,mom_z,-1.519655448412432658122e-13,-1.519655448412432658122e-13,0.000000000000000000000e+00,0.00000000000000000e+00
662,energy,5.886955195301979697382e-05,5.886955195301979697382e-05,0.000000000000000000000e+00,0.00000000000000000e+00
662,mass_d,2.295053813162166743596e-12,2.295053813162166743596e-12,0.000000000000000000000e+00,0.00000000000000000e+00
662,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
663,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
663,mom_x,1.334779357476069880430e-06,1.334779357476069880430e-06,0.000000000000000000000e+00,0.00000000000000000e+00
663,mom_y,-4.285882340714824847362e-10,-4.285882340714824847362e-10,0.000000000000000000000e+00,0.00000000000000000e+00
663,mom_z,-1.729240653061910498609e-13,-1.729240653061910498609e-13,0.000000000000000000000e+00,0.00000000000000000e+00
663,energy,5.971873512230544241630e-05,5.971873512230544241630e-05,0.000000000000000000000e+00,0.00000000000000000e+00
663,mass_d,2.306174186443774419924e-12,2.306174186443774419924e-12,0.000000000000000000000e+00,0.00000000000000000e+00
663,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
664,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
664,mom_x,1.341454323207602689492e-06,1.341454323207602689492e-06,0.000000000000000000000e+00,0.00000000000000000e+00
664,mom_y,-3.863177954417277502230e-10,-3.863177954417277502230e-10,0.000000000000000000000e+00,0.00000000000000000e+00
664,mom_z,-4.284532268606127843621e-13,-4.284532268606127843621e-13,0.000000000000000000000e+00,0.00000000000000000e+00
664,energy,6.031412757832891539510e-05,6.031412757832891539510e-05,0.000000000000000000000e+00,0.00000000000000000e+00
664,mass_d,2.402306375108456400997e-12,2.402306375108456400997e-12,0.000000000000000000000e+00,0.00000000000000000e+00
664,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
665,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
665,mom_x,1.339929076882192323590e-06,1.339929076882192323590e-06,0.000000000000000000000e+00,0.00000000000000000e+00
665,mom_y,2.031945424577629821176e-08,2.031945424577629821176e-08,0.000000000000000000000e+00,0.00000000000000000e+00
665,mom_z,-1.229941091939003018120e-08,-1.229941091939003018120e-08,0.000000000000000000000e+00,0.00000000000000000e+00
665,energy,6.012582843710374553691e-05,6.012582843710374553691e-05,0.000000000000000000000e+00,0.00000000000000000e+00
665,mass_d,2.589838045067193522411e-12,2.589838045067193522411e-12,0.000000000000000000000e+00,0.00000000000000000e+00
