multiplier,logical_run,state,result_dir
100,q100_r1,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r1_L0
100,q100_r1,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r1_L1
100,q100_r1,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r1_E1
100,q100_r1,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r1_S1
100,q100_r2,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r2_L1
100,q100_r2,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r2_L0
100,q100_r2,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r2_S1
100,q100_r2,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r2_E1
100,q100_r3,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r3_E1
100,q100_r3,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r3_S1
100,q100_r3,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r3_L0
100,q100_r3,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r3_L1
100,q100_r4,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r4_S1
100,q100_r4,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r4_E1
100,q100_r4,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r4_L1
100,q100_r4,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r4_L0
100,q100_r5,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r5_L0
100,q100_r5,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r5_L1
100,q100_r5,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r5_E1
100,q100_r5,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q100/runs/q100_r5_S1
500,q500_warmup,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_warmup_L0
500,q500_warmup,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_warmup_L1
500,q500_warmup,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_warmup_E1
500,q500_warmup,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_warmup_S1
500,q500_r1,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r1_L0
500,q500_r1,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r1_L1
500,q500_r1,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r1_E1
500,q500_r1,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r1_S1
500,q500_r2,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r2_L1
500,q500_r2,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r2_L0
500,q500_r2,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r2_S1
500,q500_r2,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r2_E1
500,q500_r3,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r3_E1
500,q500_r3,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r3_S1
500,q500_r3,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r3_L0
500,q500_r3,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r3_L1
500,q500_r4,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r4_S1
500,q500_r4,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r4_E1
500,q500_r4,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r4_L1
500,q500_r4,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r4_L0
500,q500_r5,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r5_L0
500,q500_r5,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r5_L1
500,q500_r5,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r5_E1
500,q500_r5,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q500/runs/q500_r5_S1
1000,q1000_warmup,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_warmup_L0
1000,q1000_warmup,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_warmup_L1
1000,q1000_warmup,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_warmup_E1
1000,q1000_warmup,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_warmup_S1
1000,q1000_r1,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_r1_L0
1000,q1000_r1,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_r1_L1
1000,q1000_r1,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_r1_E1
1000,q1000_r1,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_r1_S1
1000,q1000_r2,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1000/runs/q1000_r2_L1
