multiplier,particle_count_initial,repeat,state,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms,particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,occupancy_cv,occupancy_i2,occupancy_p99,occupancy_max,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate
500,3790500,1,L1,24.72243215,0.392703995,0.1285120025,0.0348160006,0.906239986,2.032127975,0.780287981,7.416320085000001,4.19174409,0.904191971,2.255360005,2.0296159950000003,3.59935999,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.975053060416772,4.900834991920842,4500.0,11498.5,0.12486842105263157,0.6127905327481407,2650.0
500,3790500,2,L1,24.811488150000002,0.38092801,0.130048007,0.0348160006,0.9031679930000001,2.043392065,0.781311989,7.456768035,4.229631899999999,0.8959999975,2.256384015,2.034687995,3.6008959999999997,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529269298143,4.900834464802174,4500.0,11498.5,0.12486842105263157,0.6127904012062328,2650.0
500,3790500,3,L1,24.87910365,0.422432005,0.129023999,0.03430400045,0.9011199775000001,2.039808035,0.781327993,7.473151919999999,4.246527915,0.8985600174999999,2.25587201,2.039327975,3.5911679249999997,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.975053060416772,4.900834991920842,4500.0,11498.5,0.12486842105263157,0.612790006580509,2650.0
500,3790500,4,L1,24.8478718,0.413696006,0.129023999,0.03430400045,0.9128960070000001,2.0459520849999997,0.7828480005,7.438335895,4.20607996,0.893999994,2.254336,2.03417599,3.597311975,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529269298143,4.900834464802174,4500.0,11498.5,0.12486842105263157,0.6127900065162478,2650.0
500,3790500,5,L1,24.9169922,0.421391994,0.1285120025,0.03430400045,0.900608003,2.04543996,0.786432028,7.512063984999999,4.2352638250000005,0.919583976,2.269695995,2.0480001,3.594751955,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529921397288,4.900834722305699,4500.0,11498.5,0.12486842105263157,0.6127904012062328,2650.0
500,3790500,1,E1,23.7491207,0.3983359935,0.130048007,0.0348160006,0.347135991,2.03673601,0.778751999,7.47929597,4.257791995,0.332800001,2.254863975,2.03417599,3.60196805,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529921397288,4.900834722305699,4500.0,11498.5,0.12486842105263157,0.6127904012062328,2650.0
500,3790500,2,E1,23.711232199999998,0.400383994,0.128000006,0.0348160006,0.347135991,2.037248015,0.779263973,7.462911845000001,4.248064045,0.332800001,2.26867199,2.04185605,3.600896,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750530586831754,4.900834985075145,4500.0,11498.5,0.12486842105263157,0.6127907958962178,2650.0
500,3790500,3,E1,23.7798395,0.382975996,0.129536003,0.0348160006,0.348159999,2.04441607,0.7802879810000001,7.482879875,4.228096005,0.332800001,2.255360005,2.0357120049999997,3.5983840249999997,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750530586831754,4.900834985075145,4500.0,11498.5,0.12486842105263157,0.6127904012704939,2650.0
500,3790500,4,E1,23.89094445,0.40243199500000004,0.129536003,0.0348160006,0.348159999,2.056703925,0.784896016,7.501312015,4.264959815,0.332800001,2.264063955,2.043392065,3.60243201,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529921397288,4.900834722305699,4500.0,11498.5,0.12486842105263157,0.6127900064519867,2650.0
500,3790500,5,E1,23.696895599999998,0.417792007,0.129023999,0.0348160006,0.347135991,2.0413440449999998,0.7813600005,7.483903885,4.2209279550000005,0.331775993,2.2548799500000003,2.0459520849999997,3.601920005,0.0266239997,3798931.5,3798987.5,86.0,0.0,2.263757888939615e-05,1.9750529269298143,4.900834464802174,4500.0,11498.5,0.12486842105263157,0.6127901380581557,2650.0
