state,time_s,field,relative_l2_vs_L0
L1,0.0475,T,4.63201585782952e-15
L1,0.0475,U,8.75295798947519e-12
L1,0.0475,epsilonS,2.093301206761193e-16
L1,0.0475,Us,5.110249955942329e-10
L1,0.0475,theta,6.549016705786314e-09
L1,0.05,rho,9.220483370313574e-15
L1,0.05,p,1.2545528519488848e-14
L1,0.05,T,4.8963811277546375e-15
L1,0.05,U,9.396773804308729e-12
L1,0.05,epsilonS,2.0766542967766405e-16
L1,0.05,Us,5.27065507940061e-10
L1,0.05,theta,6.648166616693633e-09
T1,0.0,rho,0.0
T1,0.0,p,0.0
T1,0.0,T,0.0
T1,0.0,U,0.0
T1,0.0,epsilonS,0.0
T1,0.0,Us,0.0
T1,0.0,theta,0.0
T1,0.0025,rho,2.2052434341442494e-16
T1,0.0025,p,2.097797864931826e-16
T1,0.0025,T,2.187786775014649e-16
T1,0.0025,U,4.916611948374173e-14
T1,0.0025,epsilonS,1.8634355221552615e-16
T1,0.0025,Us,3.5089905956814324e-11
T1,0.0025,theta,5.749319101754922e-10
T1,0.005,rho,5.738972651845005e-16
T1,0.005,p,7.560627738506274e-16
T1,0.005,T,3.3974499683901804e-16
T1,0.005,U,1.961449309334263e-13
T1,0.005,epsilonS,1.8637082430276646e-16
T1,0.005,Us,8.67582997156792e-11
T1,0.005,theta,1.4416046169854023e-09
T1,0.0075,rho,9.53823909831892e-16
T1,0.0075,p,1.3736075793695285e-15
T1,0.0075,T,5.610039832417059e-16
T1,0.0075,U,4.1450975882043107e-13
T1,0.0075,epsilonS,1.8882649194761676e-16
T1,0.0075,Us,1.3870798830687367e-10
T1,0.0075,theta,2.156536898439883e-09
T1,0.01,rho,1.464783086663415e-15
T1,0.01,p,2.1387088277494215e-15
T1,0.01,T,8.561155723662492e-16
T1,0.01,U,7.160524391780119e-13
T1,0.01,epsilonS,1.905570192273964e-16
T1,0.01,Us,1.833737985007543e-10
T1,0.01,theta,2.7836807168688575e-09
T1,0.0125,rho,2.0772494848379562e-15
T1,0.0125,p,3.01052802672495e-15
T1,0.0125,T,1.1868338161387997e-15
T1,0.0125,U,1.0523389339332276e-12
T1,0.0125,epsilonS,1.9369219529483316e-16
T1,0.0125,Us,2.2170789398409395e-10
T1,0.0125,theta,3.411920190556385e-09
T1,0.015,rho,2.415712238341089e-15
T1,0.015,p,3.557577117050766e-15
T1,0.015,T,1.3919696027052359e-15
T1,0.015,U,1.4191221280680999e-12
T1,0.015,epsilonS,1.9598741528969776e-16
T1,0.015,Us,2.51645464509753e-10
T1,0.015,theta,3.7876132851323745e-09
T1,0.0175,rho,3.090450242383437e-15
