state,campaign,block_threads,repeat,run,samples,sm_count,light_blocks_per_sm,heavy_blocks_per_sm,particle_count,occupancy_max,heavy_threshold,heavy_cell_count,heavy_particle_count,heavy_particle_fraction,heavy_task_count,total_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,predicted_heavy_threshold
S2,independent,32,1,r1_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.303487750000002,0.0803839974,1.6834720399999998,1.01631999,10.590208050000001,3.85945606,0.381951988,1.99168003,1.7254400250000002,4.43752003,6624.0
S2,independent,32,2,r2_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.2415352,0.08601599935,1.675264,1.01532799,10.517504200000001,3.8650879849999997,0.38092801,1.99833602,1.732096015,4.431360005,6624.0
S2,independent,32,3,r3_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.44121555,0.08974400165,1.684832035,1.02502406,10.623487950000001,3.9224320649999997,0.382975996,2.001919985,1.72697598,4.4472320100000005,6624.0
S2,independent,32,4,r4_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.4145918,0.117759999,1.692592025,1.02195203,10.61632015,3.8646240250000004,0.3829759955,2.00499201,1.730048,4.44108796,6624.0
S2,independent,32,5,r5_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.6071043,0.0871840008,1.6752639999999999,1.0234880450000001,10.665472000000001,3.9295999999999998,0.382975996,2.0193279950000003,1.7285119899999999,4.43648005,6624.0
S2,independent,64,1,r1_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.75411225,0.0844799988,1.48992002,0.8837119935,10.9721599,4.018687965,0.387071997,1.88518399,1.53702402,3.9485440250000003,8384.0
S2,independent,64,2,r2_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.674240150000003,0.08806400005000001,1.49190402,0.8862720129999999,10.887167949999998,3.99206388,0.386559993,1.881600025,1.531903985,3.960832,8384.0
S2,independent,64,3,r3_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.86724855,0.08657599985,1.49392003,0.88319999,10.958848,4.04275203,0.38860800900000003,1.9143680349999999,1.53958404,3.970559955,8384.0
S2,independent,64,4,r4_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.90412805,0.15411199650000001,1.498528005,0.881664008,10.901504,4.035583975,0.38963200200000003,1.91592002,1.54111999,3.97465599,8384.0
S2,independent,64,5,r5_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.83296015,0.09625600275,1.49196804,0.887296021,10.95475195,4.03404808,0.389120013,1.90464002,1.541631995,3.960336085,8384.0
S1,calibration,256,1,calibration_r1_S1_B256,20,24,5,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.518591899999997,0.06625600155,1.90617597,0.77107197,10.3623681,3.807232025,0.418816,2.07360005,1.90156806,3.583999995,31744.0
S1,paired,32,1,paired_r1_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.333760249999997,0.02099199965,1.67219198,0.840704024,10.2835202,3.76371193,0.370176002,1.664512035,1.7157120149999998,4.414463995,6624.0
S2,paired,32,1,paired_r1_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,25.943039900000002,0.0819199979,1.6701599950000001,1.00556803,10.33113625,3.78623998,0.377855986,1.97017598,1.71724796,4.416511775,6624.0
S1,paired,32,2,paired_r2_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.2876158,0.0204799995,1.68550396,0.859648019,10.78015995,3.955200075,0.3763200045,1.76793599,1.72595203,4.45900798,6624.0
S2,paired,32,2,paired_r2_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.5436153,0.08460799975,1.686015965,1.0183680050000001,10.58969595,3.92652798,0.3834879995,2.023936035,1.731583955,4.438528059999999,6624.0
S1,paired,32,3,paired_r3_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.189312,0.0194559991,1.690624,0.8668160140000001,10.811903950000001,3.930112005,0.376832008,1.7812479749999999,1.73260802,4.43596816,6624.0
S2,paired,32,3,paired_r3_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.8031998,0.113664001,1.687552035,1.02655995,10.802176,3.9383039450000004,0.385536,2.0357120049999997,1.738240005,4.4615678800000005,6624.0
S1,paired,32,4,paired_r4_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.4995842,0.0204799995,1.695744035,0.8698880075,10.9439998,4.005376099999999,0.378879994,1.7669119850000001,1.738240005,4.4303360000000005,6624.0
S2,paired,32,4,paired_r4_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.843647949999998,0.1009279972,1.690111995,1.030655985,10.81395195,4.020224095,0.387584001,2.05465603,1.73977602,4.444159985000001,6624.0
S1,paired,32,5,paired_r5_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.4294405,0.0204799995,1.694208025,0.8683519959999999,10.9327359,4.035583975,0.38143999900000003,1.7807359699999998,1.741311965,4.461055995,6624.0
S2,paired,32,5,paired_r5_S2_B32,20,24,24,24,3798931.5,11498.5,6624.0,35.0,301397.0,0.07929855965565244,70.0,26.92659185,0.126575999,1.695616005,1.02911997,10.85951995,4.037119864999999,0.386048004,2.0351999999999997,1.73516798,4.441600085,6624.0
S1,paired,64,1,paired_r1_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,24.617983799999998,0.0194559991,1.47814405,0.726015985,10.565119750000001,3.8958081,0.374272004,1.582080005,1.526784005,3.956224085,8384.0
S2,paired,64,1,paired_r1_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.18425655,0.09540800005,1.481135965,0.8652800025,10.594304099999999,3.88659203,0.38246399200000003,1.8385919899999998,1.523712035,3.9326719050000003,8384.0
S1,paired,64,2,paired_r2_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.032704350000003,0.0194559991,1.48736,0.73318398,10.75404785,3.97516799,0.377343997,1.611263995,1.526271995,3.9505920449999996,8384.0
S2,paired,64,2,paired_r2_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.2497921,0.08755199985,1.4883840099999999,0.871936023,10.667007949999999,3.921920065,0.38400000349999996,1.840128005,1.531391975,3.94905603,8384.0
S1,paired,64,3,paired_r3_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.3547516,0.02099199965,1.49196804,0.7332479955,10.9501438,4.03404808,0.379904002,1.6445440050000002,1.539072035,3.965439915,8384.0
S2,paired,64,3,paired_r3_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.63171195,0.08550399915000001,1.499647975,0.88319999,10.85542395,4.02175999,0.387071997,1.89798403,1.542655945,3.969535945,8384.0
S1,paired,64,4,paired_r4_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.54368015,0.0204799995,1.49299204,0.7429119945,11.0873599,4.068351985,0.38143999900000003,1.65427196,1.543679955,3.969535945,8384.0
S2,paired,64,4,paired_r4_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.80633545,0.09011200075,1.489360035,0.879616022,10.89536,4.017663955,0.3906559945,1.918463945,1.5411839500000002,3.969023945,8384.0
S1,paired,64,5,paired_r5_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.4115677,0.0194559991,1.4914560350000001,0.736768007,10.9880319,4.059648035,0.379904002,1.66041601,1.536000015,3.96748805,8384.0
S2,paired,64,5,paired_r5_S2_B64,20,24,19,14,3798931.5,11498.5,8384.0,19.0,186242.0,0.049022080819198385,38.0,25.953775399999998,0.0870399997,1.49248004,0.8924160004999999,11.0735364,4.04684806,0.38860800900000003,1.9071999800000001,1.542655945,3.980800035,8384.0
