factor,pair,order_in_pair,state,run_id,metric,value
4,4,2,S1,k4_pair04_o2_S1,particle_count,3831929
4,4,2,S1,k4_pair04_o2_S1,occupancy_mean,504.20118421052632
4,4,2,S1,k4_pair04_o2_S1,occupancy_cv,2.1111271969192726
4,4,2,S1,k4_pair04_o2_S1,occupancy_p99,4500
4,4,2,S1,k4_pair04_o2_S1,occupancy_max,32000
4,4,2,S1,k4_pair04_o2_S1,heavy_threshold,0
4,4,2,S1,k4_pair04_o2_S1,heavy_cell_count,0
4,4,2,S1,k4_pair04_o2_S1,heavy_particle_count,0
4,4,2,S1,k4_pair04_o2_S1,heavy_particle_fraction,0
4,4,2,S1,k4_pair04_o2_S1,heavy_task_count_estimate,0
4,5,1,S1,k4_pair05_o1_S1,particle_count,3831929
4,5,1,S1,k4_pair05_o1_S1,occupancy_mean,504.20118421052632
4,5,1,S1,k4_pair05_o1_S1,occupancy_cv,2.1111275022691283
4,5,1,S1,k4_pair05_o1_S1,occupancy_p99,4500
4,5,1,S1,k4_pair05_o1_S1,occupancy_max,32000
4,5,1,S1,k4_pair05_o1_S1,heavy_threshold,0
4,5,1,S1,k4_pair05_o1_S1,heavy_cell_count,0
4,5,1,S1,k4_pair05_o1_S1,heavy_particle_count,0
4,5,1,S1,k4_pair05_o1_S1,heavy_particle_fraction,0
4,5,1,S1,k4_pair05_o1_S1,heavy_task_count_estimate,0
4,5,2,S2,k4_pair05_o2_S2,particle_count,3831929
4,5,2,S2,k4_pair05_o2_S2,occupancy_mean,504.20118421052632
4,5,2,S2,k4_pair05_o2_S2,occupancy_cv,2.1111273800986035
4,5,2,S2,k4_pair05_o2_S2,occupancy_p99,4500
4,5,2,S2,k4_pair05_o2_S2,occupancy_max,32000
4,5,2,S2,k4_pair05_o2_S2,heavy_threshold,8448
4,5,2,S2,k4_pair05_o2_S2,heavy_cell_count,20
4,5,2,S2,k4_pair05_o2_S2,heavy_particle_count,221989
4,5,2,S2,k4_pair05_o2_S2,heavy_particle_fraction,0.05792761104818106
4,5,2,S2,k4_pair05_o2_S2,heavy_task_count_estimate,43
8,1,1,S1,k8_pair01_o1_S1,particle_count,3875929
8,1,1,S1,k8_pair01_o1_S1,occupancy_mean,509.99065789473684
8,1,1,S1,k8_pair01_o1_S1,occupancy_cv,2.472172726620415
8,1,1,S1,k8_pair01_o1_S1,occupancy_p99,4500
8,1,1,S1,k8_pair01_o1_S1,occupancy_max,60999.5
8,1,1,S1,k8_pair01_o1_S1,heavy_threshold,0
8,1,1,S1,k8_pair01_o1_S1,heavy_cell_count,0
8,1,1,S1,k8_pair01_o1_S1,heavy_particle_count,0
8,1,1,S1,k8_pair01_o1_S1,heavy_particle_fraction,0
8,1,1,S1,k8_pair01_o1_S1,heavy_task_count_estimate,0
8,1,2,S2,k8_pair01_o2_S2,particle_count,3875929
8,1,2,S2,k8_pair01_o2_S2,occupancy_mean,509.99065789473684
8,1,2,S2,k8_pair01_o2_S2,occupancy_cv,2.4721729287722138
8,1,2,S2,k8_pair01_o2_S2,occupancy_p99,4500
8,1,2,S2,k8_pair01_o2_S2,occupancy_max,60999.5
8,1,2,S2,k8_pair01_o2_S2,heavy_threshold,8512
8,1,2,S2,k8_pair01_o2_S2,heavy_cell_count,15
8,1,2,S2,k8_pair01_o2_S2,heavy_particle_count,229496
8,1,2,S2,k8_pair01_o2_S2,heavy_particle_fraction,0.059202416067747191
8,1,2,S2,k8_pair01_o2_S2,heavy_task_count_estimate,38.5
8,2,1,S2,k8_pair02_o1_S2,particle_count,3875929
8,2,1,S2,k8_pair02_o1_S2,occupancy_mean,509.99065789473684
8,2,1,S2,k8_pair02_o1_S2,occupancy_cv,2.4721725735299822
8,2,1,S2,k8_pair02_o1_S2,occupancy_p99,4500
8,2,1,S2,k8_pair02_o1_S2,occupancy_max,60999.5
8,2,1,S2,k8_pair02_o1_S2,heavy_threshold,8512
8,2,1,S2,k8_pair02_o1_S2,heavy_cell_count,15
8,2,1,S2,k8_pair02_o1_S2,heavy_particle_count,229496
8,2,1,S2,k8_pair02_o1_S2,heavy_particle_fraction,0.059202416067747191
8,2,1,S2,k8_pair02_o1_S2,heavy_task_count_estimate,38.5
8,2,2,S1,k8_pair02_o2_S1,particle_count,3875929
8,2,2,S1,k8_pair02_o2_S1,occupancy_mean,509.99065789473684
8,2,2,S1,k8_pair02_o2_S1,occupancy_cv,2.4721727755886169
8,2,2,S1,k8_pair02_o2_S1,occupancy_p99,4500
8,2,2,S1,k8_pair02_o2_S1,occupancy_max,60999.5
8,2,2,S1,k8_pair02_o2_S1,heavy_threshold,0
8,2,2,S1,k8_pair02_o2_S1,heavy_cell_count,0
8,2,2,S1,k8_pair02_o2_S1,heavy_particle_count,0
8,2,2,S1,k8_pair02_o2_S1,heavy_particle_fraction,0
8,2,2,S1,k8_pair02_o2_S1,heavy_task_count_estimate,0
8,3,1,S1,k8_pair03_o1_S1,particle_count,3875929
8,3,1,S1,k8_pair03_o1_S1,occupancy_mean,509.99065789473684
8,3,1,S1,k8_pair03_o1_S1,occupancy_cv,2.4721731864198428
8,3,1,S1,k8_pair03_o1_S1,occupancy_p99,4500
8,3,1,S1,k8_pair03_o1_S1,occupancy_max,60999.5
8,3,1,S1,k8_pair03_o1_S1,heavy_threshold,0
8,3,1,S1,k8_pair03_o1_S1,heavy_cell_count,0
8,3,1,S1,k8_pair03_o1_S1,heavy_particle_count,0
8,3,1,S1,k8_pair03_o1_S1,heavy_particle_fraction,0
8,3,1,S1,k8_pair03_o1_S1,heavy_task_count_estimate,0
8,3,2,S2,k8_pair03_o2_S2,particle_count,3875929
8,3,2,S2,k8_pair03_o2_S2,occupancy_mean,509.99065789473684
8,3,2,S2,k8_pair03_o2_S2,occupancy_cv,2.4721731861963341
8,3,2,S2,k8_pair03_o2_S2,occupancy_p99,4500
8,3,2,S2,k8_pair03_o2_S2,occupancy_max,60999.5
8,3,2,S2,k8_pair03_o2_S2,heavy_threshold,8512
8,3,2,S2,k8_pair03_o2_S2,heavy_cell_count,15
8,3,2,S2,k8_pair03_o2_S2,heavy_particle_count,229496
8,3,2,S2,k8_pair03_o2_S2,heavy_particle_fraction,0.059202416067747191
8,3,2,S2,k8_pair03_o2_S2,heavy_task_count_estimate,38.5
8,4,1,S2,k8_pair04_o1_S2,particle_count,3875929
8,4,1,S2,k8_pair04_o1_S2,occupancy_mean,509.99065789473684
8,4,1,S2,k8_pair04_o1_S2,occupancy_cv,2.4721728256146633
8,4,1,S2,k8_pair04_o1_S2,occupancy_p99,4500
8,4,1,S2,k8_pair04_o1_S2,occupancy_max,60999.5
8,4,1,S2,k8_pair04_o1_S2,heavy_threshold,8512
8,4,1,S2,k8_pair04_o1_S2,heavy_cell_count,15
8,4,1,S2,k8_pair04_o1_S2,heavy_particle_count,229496
8,4,1,S2,k8_pair04_o1_S2,heavy_particle_fraction,0.059202416067747191
8,4,1,S2,k8_pair04_o1_S2,heavy_task_count_estimate,38.5
8,4,2,S1,k8_pair04_o2_S1,particle_count,3875929
8,4,2,S1,k8_pair04_o2_S1,occupancy_mean,509.99065789473684
8,4,2,S1,k8_pair04_o2_S1,occupancy_cv,2.4721729781623263
8,4,2,S1,k8_pair04_o2_S1,occupancy_p99,4500
8,4,2,S1,k8_pair04_o2_S1,occupancy_max,60999.5
8,4,2,S1,k8_pair04_o2_S1,heavy_threshold,0
8,4,2,S1,k8_pair04_o2_S1,heavy_cell_count,0
8,4,2,S1,k8_pair04_o2_S1,heavy_particle_count,0
8,4,2,S1,k8_pair04_o2_S1,heavy_particle_fraction,0
8,4,2,S1,k8_pair04_o2_S1,heavy_task_count_estimate,0
8,5,1,S1,k8_pair05_o1_S1,particle_count,3875929
8,5,1,S1,k8_pair05_o1_S1,occupancy_mean,509.99065789473684
8,5,1,S1,k8_pair05_o1_S1,occupancy_cv,2.4721731356008414
8,5,1,S1,k8_pair05_o1_S1,occupancy_p99,4500
8,5,1,S1,k8_pair05_o1_S1,occupancy_max,60999.5
8,5,1,S1,k8_pair05_o1_S1,heavy_threshold,0
8,5,1,S1,k8_pair05_o1_S1,heavy_cell_count,0
8,5,1,S1,k8_pair05_o1_S1,heavy_particle_count,0
8,5,1,S1,k8_pair05_o1_S1,heavy_particle_fraction,0
8,5,1,S1,k8_pair05_o1_S1,heavy_task_count_estimate,0
8,5,2,S2,k8_pair05_o2_S2,particle_count,3875929
8,5,2,S2,k8_pair05_o2_S2,occupancy_mean,509.99065789473684
8,5,2,S2,k8_pair05_o2_S2,occupancy_cv,2.4721728798129332
8,5,2,S2,k8_pair05_o2_S2,occupancy_p99,4500
8,5,2,S2,k8_pair05_o2_S2,occupancy_max,60999.5
8,5,2,S2,k8_pair05_o2_S2,heavy_threshold,8512
8,5,2,S2,k8_pair05_o2_S2,heavy_cell_count,15
8,5,2,S2,k8_pair05_o2_S2,heavy_particle_count,229496
8,5,2,S2,k8_pair05_o2_S2,heavy_particle_fraction,0.059202416067747191
8,5,2,S2,k8_pair05_o2_S2,heavy_task_count_estimate,38.5
