multiplier,particle_count_initial,state,metric,median,q1,q3,ci95_low,ci95_high
10,75810,S1,occupancy_i2,4.901464453921517,4.901464453921517,4.901464453921517,4.901464453921518,4.901464453921518
10,75810,S1,occupancy_p99,90.0,90.0,90.0,90.0,90.0
10,75810,S1,occupancy_max,230.0,230.0,230.0,230.0,230.0
10,75810,S1,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,S1,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
10,75810,S1,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
100,758100,L0,total_ms,8.15769577,8.15718365,8.16179228,8.156672,8.176127910000002
100,758100,L0,gas_flux_ms,0.3599839955,0.357376009,0.366592005,0.35276800399999997,0.37580800100000006
100,758100,L0,eulerian_coupling_ms,0.117760003,0.117760003,0.117760003,0.11776000299999997,0.11776000299999997
100,758100,L0,injection_ms,0.0143360002,0.0143360002,0.0143360002,0.0143360002,0.0143360002
100,758100,L0,bin_pre_ms,0.0,0.0,0.0,0.0,0.0
100,758100,L0,pressure_pre_ms,1.24518406,1.24416006,1.24518406,1.24416006,1.2467200149999997
100,758100,L0,collision_pool_ms,1.822208045,1.82169604,1.822208045,1.8216960399999997,1.8227200500000003
100,758100,L0,relax_ms,1.405983985,1.40595198,1.4064639799999998,1.405439975,1.4064639799999998
100,758100,L0,track_ms,0.669695973,0.669695973,0.670207977,0.668672025,0.671231985
100,758100,L0,bin_post_ms,0.0,0.0,0.0,0.0,0.0
100,758100,L0,moments_ms,0.4792960135,0.4782080055,0.480767995,0.4756799935,0.48179200299999997
100,758100,L0,pressure_post_ms,1.24620795,1.245695945,1.24620795,1.245695945,1.246719955
100,758100,L0,compaction_ms,0.749567986,0.748543978,0.749567986,0.7475200300000001,0.7505919930000001
100,758100,L0,boundary_ms,0.027648,0.027648,0.027648,0.0266239997,0.027648
100,758100,L0,particle_count,759775.5,759775.5,759775.5,759775.5,759775.5
100,758100,L0,base_particle_count,759786.5,759786.5,759786.5,759786.5,759786.5
100,758100,L0,injected_particle_count,17.5,17.5,17.5,17.5,17.5
100,758100,L0,removed_particle_count,0.0,0.0,0.0,0.0,0.0
100,758100,L0,injection_fraction,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05
100,758100,L0,occupancy_cv,1.9751044168071326,1.9751044168071326,1.9751044168071326,1.9751044168071323,1.9751044168071323
100,758100,L0,occupancy_i2,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821
100,758100,L0,occupancy_p99,900.0,900.0,900.0,900.0,900.0
100,758100,L0,occupancy_max,2300.0,2300.0,2300.0,2300.0,2300.0
100,758100,L0,heavy_cell_fraction,0.007631578947368421,0.007631578947368421,0.007631578947368421,0.0076315789473684215,0.0076315789473684215
100,758100,L0,heavy_particle_fraction,0.1148098180839115,0.1148098180839115,0.1148098180839115,0.11480981808391148,0.11480981808391148
100,758100,L0,heavy_task_count_estimate,119.0,119.0,119.0,119.0,119.0
