multiplier,particle_count_initial,comparison,scope,median,q1,q3,ci95_low,ci95_high,classification
500,3790500,E1_over_L1,cell_particle_chain,1.3014232375918917,1.298708829991677,1.3049716248403238,1.2974866231691693,1.3125492814215887,positive
500,3790500,S1_over_E1,total,1.0136803265924528,1.0124029759475548,1.0154508898908476,1.0070497533046585,1.01900266186651,positive
500,3790500,S1_over_E1,pretransport_chain,1.1236627443931246,1.11692743530919,1.1259569676175294,1.106950904424688,1.1286231598283705,positive
500,3790500,S1_over_E1,cell_particle_chain,1.1025212626562158,1.101846221346025,1.105813562886434,1.0944428592628852,1.1091656366218632,positive
500,3790500,S1_over_L0,total,1.582540925000246,1.5777748531329379,1.5893708636344834,1.5772109406550947,1.5915202019222312,positive
500,3790500,S1_over_L0,pretransport_chain,5.223913053696784,5.222472234482428,5.230462126181039,5.155857991155335,5.242070597199396,positive
500,3790500,S1_over_L0,cell_particle_chain,3.349939124190574,3.346606408356218,3.3611449956803425,3.338982963246342,3.364389549916491,positive
1000,7581000,L1_over_L0,total,1.5994618901169084,1.5991059610992362,1.59951836835643,1.5980051272411995,1.6068570842198977,positive
1000,7581000,L1_over_L0,pretransport_chain,5.052322651884126,5.045541635365878,5.086681053531884,5.0399534680909115,5.116232607102178,positive
1000,7581000,L1_over_L0,cell_particle_chain,2.7412877463050696,2.731851826128777,2.7454798184000024,2.7208711237807672,2.7466769301521277,positive
1000,7581000,E1_over_L1,total,1.0533515470223513,1.0513684357282571,1.0534326545991202,1.047087417728594,1.0546556086286019,positive
1000,7581000,E1_over_L1,pretransport_chain,1.2143724369245896,1.213968082647791,1.2152070467247955,1.2136726585047097,1.2160606198962278,positive
1000,7581000,E1_over_L1,cell_particle_chain,1.3323389673829096,1.3307167584142543,1.3353198265969717,1.3265386708141806,1.3394895169056866,positive
1000,7581000,S1_over_E1,total,1.0170045474248053,1.016929115529782,1.0173378241650841,1.0147604215699797,1.0176686446779748,positive
1000,7581000,S1_over_E1,pretransport_chain,1.1718496580344777,1.1714589736562415,1.1762679125220592,1.1643563161287707,1.1769616379685686,positive
1000,7581000,S1_over_E1,cell_particle_chain,1.1516531776228172,1.1501003141141313,1.1521461215443505,1.1328770470406575,1.1587778983891688,positive
1000,7581000,S1_over_L0,total,1.713876471460825,1.7107794422290832,1.7143141607098802,1.6995568368272536,1.7213670441352829,positive
1000,7581000,S1_over_L0,pretransport_chain,7.192374819958711,7.179741945729616,7.226094962409542,7.17772740030769,7.303955181121748,positive
1000,7581000,S1_over_L0,cell_particle_chain,4.195425108794619,4.191732694846462,4.199086807339996,4.155044266041144,4.220251896977823,positive
1250,9476250,L1_over_L0,total,1.6000896424959141,1.5997909501816994,1.606259388730827,1.5963577716883355,1.6149614690600231,positive
1250,9476250,L1_over_L0,pretransport_chain,5.186603523421017,5.184832807729339,5.207044872513554,5.176994328247983,5.216223567008908,positive
1250,9476250,L1_over_L0,cell_particle_chain,2.781157186285189,2.780044916345309,2.8073798924232602,2.777179947172537,2.814684126370895,positive
1250,9476250,E1_over_L1,total,1.047025920828464,1.0459151917584693,1.051056961784623,1.0391953999553325,1.0538786588766116,positive
1250,9476250,E1_over_L1,pretransport_chain,1.2161983698143808,1.2155550235796924,1.222396813746015,1.2125651534952289,1.2250756931666875,positive
1250,9476250,E1_over_L1,cell_particle_chain,1.3409683867604911,1.3345761432863634,1.3417605376358,1.3308583979405388,1.3526750836644468,positive
1250,9476250,S1_over_E1,total,1.0172749436315947,1.0115491871949587,1.028581287174243,1.009168149882576,1.028725506939748,positive
1250,9476250,S1_over_E1,pretransport_chain,1.2015303431407713,1.1987318618929648,1.203155808337508,1.1935835357585838,1.2056801125761816,positive
1250,9476250,S1_over_E1,cell_particle_chain,1.15556559818239,1.1485744220810632,1.1588841688417775,1.1449591044743648,1.1606453271428099,positive
1250,9476250,S1_over_L0,total,1.7129786639094127,1.7042766547553305,1.7171664829898179,1.701797363403254,1.7210691731094776,positive
1250,9476250,S1_over_L0,pretransport_chain,7.596582796937975,7.569957335105662,7.61780765503543,7.558945643706944,7.6447434733946835,positive
1250,9476250,S1_over_L0,cell_particle_chain,4.31745319960622,4.301178695378691,4.32856159524137,4.284360119870979,4.353244412051921,positive
