x_m,particle_count,mean_u_p,mean_T_p,covariance_uT,selected,T_p_numerical,T_p_published
0.275,1942,0.030907912334695618,1.0692621414240542,0.0030072222082932754,0,1.0692621414241,1.0667305395445497
0.285,1930,0.038269164376918054,1.0661650717589284,0.003717414474408161,0,1.0661650717589,1.0562781495000815
0.295,1910,0.04898545327329195,1.0625096607747417,0.0043293320900009424,0,1.0625096607747,1.0450666520067213
0.305,1897,0.0586045359637808,1.0580241332046187,0.005124212890241071,0,1.0580241332046,1.0349683351825218
0.315,1875,0.07197574978046316,1.052877378549798,0.005913627725919843,0,1.0528773785498,1.023485866015301
0.325,1847,0.08506251338378268,1.0471315839370237,0.006676040830491725,0,1.047131583937,1.0067985812290674
0.335,1824,0.09926773311255674,1.0406064869618412,0.007553268457522924,0,1.0406064869618,0.9914053364559313
0.345,1798,0.11132528551570325,1.033407049827507,0.008478714401336393,0,1.0334070498275,0.9820294400701426
0.355,1784,0.1302844190998838,1.0261069870395312,0.009236187827442954,0,1.0261069870395,0.9682290571952094
0.365,1758,0.1420811321131629,1.017976676696776,0.010015407056111786,0,1.0179766766968,0.9535452949769446
0.375,1727,0.15825821356943315,1.0098125044396218,0.010681047066601834,0,1.0098125044396,0.9425580168968516
0.385,1714,0.17373117336132263,1.0016051158732104,0.01115419863802039,0,1.0016051158732,0.9294549172666763
0.395,1702,0.1849461609191251,0.9930026441854853,0.011643094481235378,0,0.99300264418549,0.9150987995301427
0.405,1692,0.19978963586234627,0.9849225651520583,0.011786192018862746,0,0.98492256515206,0.9041395386698942
0.415,1675,0.2125879647024879,0.977070728559718,0.011643217170269005,0,0.97707072855972,0.8950444342843801
0.425,1676,0.2227284164456251,0.9697168129585002,0.011357815938427746,0,0.9697168129585,0.8917363313877736
0.435,1683,0.23076081500099788,0.9634092148722982,0.010608015390993292,0,0.9634092148723,0.8875220761093234
0.445,1690,0.24300784371895512,0.9584565600660513,0.00951276172057064,0,0.95845656006605,0.8820822855054125
0.455,1702,0.24141293983766277,0.954173925338764,0.007922535442198286,0,0.95417392533876,0.880276126793276
0.465,1716,0.25075382751356484,0.9515037270510308,0.006438661260900924,0,0.95150372705103,0.8816617265861351
0.475,1733,0.2554927787199548,0.9502282054511116,0.004493159333007618,0,0.95022820545111,0.8805876341864358
0.485,1766,0.26022831581103634,0.9498993995885266,0.002437652095768128,0,0.94989939958853,0.8808405834013292
0.495,1781,0.2628531012699066,0.9509136841994192,0.00010878123528354489,0,0.95091368419942,0.8812983043859373
0.505,1806,0.26601453891633925,0.9535007473146814,-0.002379405233003562,0,0.95350074731468,0.8806778022030247
0.515,1827,0.26948855672513583,0.957115293021744,-0.004980963679310113,0,0.95711529302175,0.8817895428575703
0.525,1864,0.2733985391071109,0.9619463810167925,-0.007508790851199876,0,0.96194638101679,0.8788524259565144
0.535,1902,0.27205419783334456,0.9693636720903284,-0.01083504079072617,0,0.96936367209033,0.8826078802377831
