state,time_s,particle_count,gas_mass,solid_mass,gas_energy,solid_resolved_energy,solid_granular_energy,solid_energy,mixture_energy,gas_momentum_x,solid_momentum_x,total_momentum_x,gas_momentum_y,solid_momentum_y,total_momentum_y,gas_momentum_z,solid_momentum_z,total_momentum_z,gas_energy_normalized,solid_energy_normalized,mixture_energy_normalized,total_momentum_relative_drift,gas_mass_relative_drift,solid_mass_relative_drift,max_field_relative_l2_vs_L0,mixture_energy_relative_difference_vs_L0
L0,0.0375,524288,288.99468354932577,2480.502134423986,686.1435542914016,7650.729845600274,61.770667135422826,7712.500512735696,8398.644067027099,289.12489188520317,2480.327421063928,2769.452312949131,144.53348508135926,1240.2001010251956,1384.7335861065549,72.24829063804755,620.127441815205,692.3757324532526,0.7597604908452217,0.9949599034102562,0.970417121452821,1.4425801887192978e-05,3.6674716322513173e-06,0.0,0.0,0.0
L0,0.04,524288,288.9947613545197,2480.502134423986,674.1657243272132,7644.797629176674,61.864308938777,7706.6619381154505,8380.827662442663,289.1350369035224,2480.3157910392206,2769.4508279427428,144.53918664482097,1240.1930490898292,1384.7322357346502,72.24815288165921,620.1273131435805,692.3754660252397,0.7464975491241549,0.9942066914486336,0.968358533910179,1.5002264245293047e-05,3.936699696698552e-06,0.0,0.0,0.0
L0,0.0425,524288,288.9948350020332,2480.502134423986,662.5900253493178,7638.416069656923,61.998093801690004,7700.414163458613,8363.004188807932,289.1416090276276,2480.308431645977,2769.4500406736047,144.54311547851185,1240.1882825563514,1384.7313980348633,72.24789862527729,620.1272381431259,692.3751367684031,0.7336798833713885,0.9934006901707302,0.9662991295776617,1.5321256028901704e-05,4.191541006179566e-06,0.0,0.0,0.0
L0,0.045,524288,288.99491405083575,2480.502134423986,651.4297667404801,7631.743020171338,62.02229966660549,7693.765319837943,8345.195086578424,289.14513471486987,2480.3043272558566,2769.4494619707266,144.54427570850217,1240.1864909629,1384.7307666714023,72.24766448162953,620.1271485566381,692.3748130382676,0.7213222309448977,0.9925429485348382,0.9642413857819616,1.5558616406664503e-05,4.465072309543579e-06,0.0,0.0,0.0
L0,0.0475,524288,288.994997724558,2480.502134423986,640.6595880562392,7624.680596979082,62.028011550299944,7686.708608529382,8327.368196585621,289.14540850895196,2480.3036023767127,2769.4490108856644,144.54522701113308,1240.1844795359991,1384.729706547132,72.24743826739315,620.1270126007046,692.3744508680977,0.709396510456158,0.9916325894638254,0.9621815867080624,1.5808401699455378e-05,4.754607148391931e-06,0.0,0.0,0.0
L0,0.05,524288,288.99507703986495,2480.502134423986,630.3229293836253,7617.134113118409,62.11978585500212,7679.253898973411,8309.576828357036,289.14113871071584,2480.3071803412836,2769.4483190519995,144.545252674999,1240.1834950658777,1384.7287477408768,72.24721290443858,620.1268363158783,692.3740492203169,0.6979508227167824,0.9906708861760898,0.9601258919786152,1.612161388908315e-05,5.0290606326587004e-06,0.0,0.0,0.0
L1,0.0,524288,288.99362367340905,2480.502134423986,903.1050739794033,7751.569170074954,0.0,7751.569170074954,8654.674244054357,288.993623673403,2480.502134424031,2769.4957580974337,144.49681183670896,1240.2510672119802,1384.7478790486891,72.24840591834983,620.1255336064771,692.3739395248269,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
L1,0.0025,524288,288.99362367340905,2480.502134423986,886.4999801157034,7704.801642956841,46.56751126236354,7751.369154219205,8637.869134334907,288.9936809737362,2480.502130171355,2769.4958111450915,144.49679475627696,1240.2510783301075,1384.7478730863845,72.24840266150744,620.1255373775601,692.3739400390675,0.9816133312256435,0.9999741967269644,0.9980582620159281,1.6825267387810692e-08,0.0,0.0,5.749319101754922e-10,2.571219854328031e-13
L1,0.005,524288,288.99362682005085,2480.502134423986,870.4338227506971,7704.290016035864,46.631573356613835,7750.9215893924775,8621.355412143175,288.99413796660934,2480.501975658159,2769.4961136247684,144.4967430868298,1240.2510452392112,1384.747788326041,72.24840127003937,620.12556866334,692.3739699333794,0.9638234219139695,0.9999164581172834,0.9961501922577767,1.1603990210050312e-07,1.088827415025568e-08,0.0,1.4416046170107473e-09,6.952004410162106e-13
L1,0.0075,524288,288.99365314568456,2480.502134423986,854.586638975443,7702.137381897275,48.0559871219846,7750.19336901926,8604.780007994703,288.995114311358,2480.500072551218,2769.4951868625762,144.4967385492378,1240.2509568123132,1384.747695361551,72.2484038927315,620.1256208937434,692.3740247864749,0.9462759800582552,0.9998225132195162,0.9942349954888331,1.9101690099611485e-07,1.0198244217185554e-07,0.0,2.1488413118307124e-09,7.350131148324632e-13
