load_id,parcels_per_cell,n_particles,measurement,comparison,median_speedup,q1,q3,ci95_low,ci95_high,classification
m32_ppc64,64,2097152,gpu_step,S1_over_E1,1.0201572457453323,1.0198403355181336,1.023465971156909,1.0113619315355336,1.023682202274395,positive
m32_ppc64,64,2097152,gpu_step,S1_over_L0,0.907650234422179,0.9057933278700602,0.9092140715387739,0.9041997004836159,0.9092141001530422,negative
m32_ppc64,64,2097152,external_run,L1_over_L0,0.92,0.919653893695921,1.0094086021505375,0.8942065491183879,1.0473411154345005,inconclusive
m32_ppc64,64,2097152,external_run,E1_over_L1,1.0054054054054054,0.9704216488357457,1.0579613590939374,0.9457755359394703,1.086635325721961,inconclusive
m32_ppc64,64,2097152,external_run,E1_over_L0,0.9993284083277367,0.9460359760159893,1.0148648648648648,0.8701134930643128,1.0163624921334171,inconclusive
m32_ppc64,64,2097152,external_run,S1_over_E1,1.0318802862719583,0.9609475032010244,1.0444601270289344,0.9550994227068635,1.1080892608089261,inconclusive
m32_ppc64,64,2097152,external_run,S1_over_L0,0.95445798588839,0.9090909090909091,1.059985885673959,0.8978529603122969,1.126220362622036,inconclusive
m32_ppc96,96,3145728,gpu_step,L1_over_L0,0.9850256153234799,0.973411806003281,0.9963301435306425,0.9663879259997443,0.9995647486394879,negative
m32_ppc96,96,3145728,gpu_step,E1_over_L1,1.022166493882974,1.0213337625580212,1.0413269821156577,1.0170801291845095,1.0454381239265396,positive
m32_ppc96,96,3145728,gpu_step,E1_over_L0,1.0166374436745318,1.0068601796001204,1.017641812276015,0.9870046165519616,1.0375054615536243,inconclusive
m32_ppc96,96,3145728,gpu_step,S1_over_E1,1.0839996572036108,1.083476562693487,1.0945300567725444,1.0625088400344374,1.102413343167253,positive
m32_ppc96,96,3145728,gpu_step,S1_over_L0,1.0914360895384965,1.0812534215319314,1.1015028429779752,1.080306218989382,1.1437598644256146,positive
m32_ppc96,96,3145728,external_run,L1_over_L0,0.9718511450381679,0.9536244934714092,0.982843137254902,0.9320737741790375,0.9871855719031798,negative
m32_ppc96,96,3145728,external_run,E1_over_L1,1.0333496812162826,0.9514298683613255,1.0611562350692787,0.8908296943231442,1.0616045845272206,inconclusive
m32_ppc96,96,3145728,external_run,E1_over_L0,0.9894937917860552,0.9246482069904676,1.0119445771619684,0.8755458515283843,1.0201078960274645,inconclusive
m32_ppc96,96,3145728,external_run,S1_over_E1,1.158273381294964,1.058645096056623,1.1791967044284242,1.0360772357723576,1.2218524681087077,positive
m32_ppc96,96,3145728,external_run,S1_over_L0,1.056910569105691,1.0475227502527804,1.129783693843594,1.0324407826982491,1.1721084670724957,positive
