factor,initial_target_cell_particles,state,manuscript_state,stage,processes,median_process_time_ms
4,44000,S2,S2,boundary_ms,5,0.0255999994
8,88000,E1,T1,total_ms,5,33.066495900000007
8,88000,E1,T1,gas_flux_ms,5,0.36096000699999997
8,88000,E1,T1,eulerian_coupling_ms,5,0.098304003500000001
8,88000,E1,T1,injection_ms,5,0.032767999899999997
8,88000,E1,T1,bin_pre_ms,5,0.38604798899999998
8,88000,E1,T1,pressure_pre_ms,5,2.8308479800000002
8,88000,E1,T1,collision_pool_ms,5,1.6732159850000001
8,88000,E1,T1,relax_ms,5,10.614799999999999
8,88000,E1,T1,track_ms,5,3.8604800699999999
8,88000,E1,T1,bin_post_ms,5,0.38297599599999999
8,88000,E1,T1,moments_ms,5,2.6179039450000001
8,88000,E1,T1,pressure_post_ms,5,2.804224015
8,88000,E1,T1,compaction_ms,5,7.2898559600000006
8,88000,E1,T1,boundary_ms,5,0.024576000899999999
8,88000,E2,T2,total_ms,5,31.691263200000002
8,88000,E2,T2,gas_flux_ms,5,0.35328000799999998
8,88000,E2,T2,eulerian_coupling_ms,5,0.098304003500000001
8,88000,E2,T2,injection_ms,5,0.032624000649999998
8,88000,E2,T2,bin_pre_ms,5,0.395264
8,88000,E2,T2,pressure_pre_ms,5,2.8349440100000001
8,88000,E2,T2,collision_pool_ms,5,0.98048001499999993
8,88000,E2,T2,relax_ms,5,10.616319650000001
8,88000,E2,T2,track_ms,5,3.86099207
8,88000,E2,T2,bin_post_ms,5,0.38963200200000003
8,88000,E2,T2,moments_ms,5,1.8252800100000002
8,88000,E2,T2,pressure_post_ms,5,2.8001279800000001
8,88000,E2,T2,compaction_ms,5,7.2657918949999996
8,88000,E2,T2,boundary_ms,5,0.024576000899999999
8,88000,S1,S1,total_ms,5,32.33535955
8,88000,S1,S1,gas_flux_ms,5,0.36710400899999995
8,88000,S1,S1,eulerian_coupling_ms,5,0.098304003500000001
8,88000,S1,S1,injection_ms,5,0.032767999899999997
8,88000,S1,S1,bin_pre_ms,5,0.019967999299999997
8,88000,S1,S1,pressure_pre_ms,5,2.57536006
8,88000,S1,S1,collision_pool_ms,5,1.3829120399999999
8,88000,S1,S1,relax_ms,5,10.61836815
8,88000,S1,S1,track_ms,5,3.8599680649999999
8,88000,S1,S1,bin_post_ms,5,0.38246399200000003
8,88000,S1,S1,moments_ms,5,2.61222398
8,88000,S1,S1,pressure_post_ms,5,2.8160001050000001
8,88000,S1,S1,compaction_ms,5,7.2826879
8,88000,S1,S1,boundary_ms,5,0.024576000899999999
8,88000,S2,S2,total_ms,5,31.089664450000001
8,88000,S2,S2,gas_flux_ms,5,0.35123199199999999
8,88000,S2,S2,eulerian_coupling_ms,5,0.098815999949999997
8,88000,S2,S2,injection_ms,5,0.032767999899999997
8,88000,S2,S2,bin_pre_ms,5,0.093311999000000007
8,88000,S2,S2,pressure_pre_ms,5,2.5733120400000002
8,88000,S2,S2,collision_pool_ms,5,0.87961599199999996
8,88000,S2,S2,relax_ms,5,10.615295850000001
8,88000,S2,S2,track_ms,5,3.8584320549999997
8,88000,S2,S2,bin_post_ms,5,0.39014399100000002
8,88000,S2,S2,moments_ms,5,1.820160035
8,88000,S2,S2,pressure_post_ms,5,2.800127985
8,88000,S2,S2,compaction_ms,5,7.2831997899999994
8,88000,S2,S2,boundary_ms,5,0.024607999299999999
16,176000,E1,T1,total_ms,5,43.715072649999996
16,176000,E1,T1,gas_flux_ms,5,0.37529601150000003
16,176000,E1,T1,eulerian_coupling_ms,5,0.098304003500000001
16,176000,E1,T1,injection_ms,5,0.032767999899999997
16,176000,E1,T1,bin_pre_ms,5,0.39731198499999998
16,176000,E1,T1,pressure_pre_ms,5,4.5593597900000002
16,176000,E1,T1,collision_pool_ms,5,2.816511985
16,176000,E1,T1,relax_ms,5,10.867199899999999
16,176000,E1,T1,track_ms,5,3.9306240099999998
16,176000,E1,T1,bin_post_ms,5,0.395264
16,176000,E1,T1,moments_ms,5,4.2772641199999999
16,176000,E1,T1,pressure_post_ms,5,4.5214719750000008
16,176000,E1,T1,compaction_ms,5,11.372543799999999
16,176000,E1,T1,boundary_ms,5,0.024576000899999999
16,176000,E2,T2,total_ms,5,39.506431599999999
16,176000,E2,T2,gas_flux_ms,5,0.36403200050000001
16,176000,E2,T2,eulerian_coupling_ms,5,0.098304003500000001
16,176000,E2,T2,injection_ms,5,0.032767999899999997
16,176000,E2,T2,bin_pre_ms,5,0.406527996
16,176000,E2,T2,pressure_pre_ms,5,4.6151678549999993
16,176000,E2,T2,collision_pool_ms,5,0.99225598599999998
16,176000,E2,T2,relax_ms,5,10.8687358
16,176000,E2,T2,track_ms,5,3.9311360149999999
16,176000,E2,T2,bin_post_ms,5,0.40243199499999999
16,176000,E2,T2,moments_ms,5,1.8380800500000001
16,176000,E2,T2,pressure_post_ms,5,4.530175925
16,176000,E2,T2,compaction_ms,5,11.35923195
16,176000,E2,T2,boundary_ms,5,0.024576000899999999
16,176000,S1,S1,total_ms,5,42.170368199999999
16,176000,S1,S1,gas_flux_ms,5,0.35686400500000004
16,176000,S1,S1,eulerian_coupling_ms,5,0.098304003500000001
16,176000,S1,S1,injection_ms,5,0.032767999899999997
16,176000,S1,S1,bin_pre_ms,5,0.035328000799999995
16,176000,S1,S1,pressure_pre_ms,5,4.0478718249999996
16,176000,S1,S1,collision_pool_ms,5,2.2476800699999999
16,176000,S1,S1,relax_ms,5,10.8697596
16,176000,S1,S1,track_ms,5,3.9296000050000002
16,176000,S1,S1,bin_post_ms,5,0.39423999199999998
16,176000,S1,S1,moments_ms,5,4.218368055
16,176000,S1,S1,pressure_post_ms,5,4.5071361049999998
16,176000,S1,S1,compaction_ms,5,11.4119682
16,176000,S1,S1,boundary_ms,5,0.024576000899999999
16,176000,S2,S2,total_ms,5,38.841856
16,176000,S2,S2,gas_flux_ms,5,0.38041599100000001
16,176000,S2,S2,eulerian_coupling_ms,5,0.098304003500000001
16,176000,S2,S2,injection_ms,5,0.032767999899999997
16,176000,S2,S2,bin_pre_ms,5,0.104959998
16,176000,S2,S2,pressure_pre_ms,5,4.0949759449999998
16,176000,S2,S2,collision_pool_ms,5,0.89139199250000001
16,176000,S2,S2,relax_ms,5,10.86822415
16,176000,S2,S2,track_ms,5,3.9331839100000003
16,176000,S2,S2,bin_post_ms,5,0.40243199499999999
16,176000,S2,S2,moments_ms,5,1.8391039949999999
16,176000,S2,S2,pressure_post_ms,5,4.5194239600000001
16,176000,S2,S2,compaction_ms,5,11.425280050000001
16,176000,S2,S2,boundary_ms,5,0.02468799985
32,352000,E1,T1,total_ms,5,65.112575550000003
32,352000,E1,T1,gas_flux_ms,5,0.371199995
32,352000,E1,T1,eulerian_coupling_ms,5,0.098304003500000001
32,352000,E1,T1,injection_ms,5,0.032767999899999997
32,352000,E1,T1,bin_pre_ms,5,0.42086398600000002
32,352000,E1,T1,pressure_pre_ms,5,8.0614399900000002
