factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
4,44000,S1_over_T1,track_ms,5,1.0004046723640598,1.0000000326260363,1.0023888390325766,positive
4,44000,S1_over_T1,bin_post_ms,5,1.002724814259609,1,1.0094851296070249,inconclusive
4,44000,S1_over_T1,moments_ms,5,1.0071083170606931,0.99181715846664908,1.0119794552867023,inconclusive
4,44000,S1_over_T1,pressure_post_ms,5,0.99795386034304912,0.98885722460019176,1.0091169371674833,inconclusive
4,44000,S1_over_T1,compaction_ms,5,0.99951368764409831,0.99688440913873388,1.0064359337333213,inconclusive
4,44000,S1_over_T1,boundary_ms,5,1,1,1.0416666041056339,inconclusive
8,88000,T2_over_T1,total_ms,5,1.041762274211437,1.0400342483034883,1.0495526949371483,positive
8,88000,T2_over_T1,gas_flux_ms,5,1.0217391271118856,0.88873991845514699,1.0649546968804766,inconclusive
8,88000,T2_over_T1,eulerian_coupling_ms,5,1,0.99481868877247559,1.0104165940708609,inconclusive
8,88000,T2_over_T1,injection_ms,5,1,0.98437499537467965,1.0306995455314225,inconclusive
8,88000,T2_over_T1,bin_pre_ms,5,0.97668390999433286,0.97416016175326747,0.97668390999433297,negative
8,88000,T2_over_T1,pressure_pre_ms,5,1.002356798038156,0.98319327376014543,1.014256971214605,inconclusive
8,88000,T2_over_T1,collision_pool_ms,5,1.7065273737374447,1.6917057608433257,1.7359080777598048,positive
8,88000,T2_over_T1,relax_ms,5,0.99985681479216126,0.99932489706771199,1.0001447036676918,inconclusive
8,88000,T2_over_T1,track_ms,5,0.99985913636530166,0.99893898429062467,1.0010621426594226,inconclusive
8,88000,T2_over_T1,bin_post_ms,5,0.98291719888039364,0.98162730897987838,0.98548578908600404,negative
8,88000,T2_over_T1,moments_ms,5,1.4347322335579999,1.4109436144676537,1.4462832773805483,positive
8,88000,T2_over_T1,pressure_post_ms,5,1.0033106744248801,0.99037760067186942,1.0101252202139932,inconclusive
8,88000,T2_over_T1,compaction_ms,5,1.000351282557882,0.98098461730888076,1.0163155204950554,inconclusive
